start	end	corpus	sent_id	left	node	right	node_sentences
64	75	ind_newscrawl_2016_1M	380124	“Kami menemukan bahwa orang dengan diabetes menghabiskan lebih	banyak waktu	"duduk dibandingkan orang tanpa diabetes, sekitar 26 menit lebih dalam sehari,"" kata pemimpin peneliti, Dr. Julianne van der Berg, seperti dilansir laman Health."	"“Kami menemukan bahwa orang dengan diabetes menghabiskan lebih <m>banyak waktu</m> duduk dibandingkan orang tanpa diabetes, sekitar 26 menit lebih dalam sehari,"" kata pemimpin peneliti, Dr. Julianne van der Berg, seperti dilansir laman Health."
13	25	ind_newscrawl_2016_1M	382202	“Kami punya	waktu panjang	sebelum pertandingan lawan Madiun.	“Kami punya <m>waktu panjang</m> sebelum pertandingan lawan Madiun.
22	34	ind_newscrawl_2016_1M	391766	Karena dalam rentang	waktu panjang	itu kan bisa saja dia relaps lagi, kami kan enggak Please enable JavaScript to view the comments powered by Disqus.	Karena dalam rentang <m>waktu panjang</m> itu kan bisa saja dia relaps lagi, kami kan enggak Please enable JavaScript to view the comments powered by Disqus.
22	34	ind_newscrawl_2016_1M	391767	Karena dalam rentang	waktu panjang	itu kan bisa saja dia relaps lagi, kami kan enggak tahu.	Karena dalam rentang <m>waktu panjang</m> itu kan bisa saja dia relaps lagi, kami kan enggak tahu.
145	157	ind_newscrawl_2016_1M	394464	Karena itu, ia meminta agar pemerintah memperkuat ketahanan energi nasional untuk menyediakan cadangan energi dengan harga terjangkau dan dalam	waktu panjang	.	Karena itu, ia meminta agar pemerintah memperkuat ketahanan energi nasional untuk menyediakan cadangan energi dengan harga terjangkau dan dalam <m>waktu panjang</m>.
40	51	ind_newscrawl_2016_1M	401214	Karenanya Dewan Juri membutuhkan lebih	banyak waktu	.	Karenanya Dewan Juri membutuhkan lebih <m>banyak waktu</m>.
34	45	ind_newscrawl_2016_1M	402287	Karena pastinya kamu lebih punya	banyak waktu	untuk keluarga, teman, dan tugas-tugasmu.	Karena pastinya kamu lebih punya <m>banyak waktu</m> untuk keluarga, teman, dan tugas-tugasmu.
14	25	ind_newscrawl_2016_1M	404649	Karena tidak	banyak waktu	terbuang untuk mangkal.	Karena tidak <m>banyak waktu</m> terbuang untuk mangkal.
70	81	ind_newscrawl_2016_1M	412484	Kebutuhan sayur mayur dan bumbu dapur dapat terpenuhi tanpa menguras	banyak waktu	dan tenaga.	Kebutuhan sayur mayur dan bumbu dapur dapat terpenuhi tanpa menguras <m>banyak waktu</m> dan tenaga.
26	37	ind_newscrawl_2016_1M	428072	Kemudian, habiskan lebih	banyak waktu	untuk melakukan riset pada perusahaan, sektor, industri dan ekonomi untuk memahami risiko dan ekonomi.	Kemudian, habiskan lebih <m>banyak waktu</m> untuk melakukan riset pada perusahaan, sektor, industri dan ekonomi untuk memahami risiko dan ekonomi.
42	53	ind_newscrawl_2016_1M	451238	Kini, Anda tidak perlu lagi menghabiskan	banyak waktu	untuk mengisi formulir pengajuan KPR di Kantor Cabang BCA.	Kini, Anda tidak perlu lagi menghabiskan <m>banyak waktu</m> untuk mengisi formulir pengajuan KPR di Kantor Cabang BCA.
17	28	ind_newscrawl_2016_1M	465363	"""Konsumen punya"	banyak waktu	"untuk memilih,"" kata Tania."	"""Konsumen punya <m>banyak waktu</m> untuk memilih,"" kata Tania."
17	28	ind_newscrawl_2016_1M	465364	“Konsumen punya	banyak waktu	untuk memilih,” kata Tania.	“Konsumen punya <m>banyak waktu</m> untuk memilih,” kata Tania.
90	101	ind_newscrawl_2016_1M	472078	Lagi pula ini masih dalam proses pekerjaan,belum dise-rahkan ke Pemkab Minut, jadi masih	banyak waktu	untuk membenahinya,” pungkas Ibu Ephi.	Lagi pula ini masih dalam proses pekerjaan,belum dise-rahkan ke Pemkab Minut, jadi masih <m>banyak waktu</m> untuk membenahinya,” pungkas Ibu Ephi.
55	67	ind_newscrawl_2016_1M	475136	Lamanya, bisa dua sampai tiga tahun sehingga menambah	panjang waktu	pendidikan kedokteran.	Lamanya, bisa dua sampai tiga tahun sehingga menambah <m>panjang waktu</m> pendidikan kedokteran.
99	111	ind_newscrawl_2016_1M	475777	Langkah itu penting untuk dilaksanakan mulai sekarang karena pengembangan kawasan baru memerlukan	waktu panjang	.	Langkah itu penting untuk dilaksanakan mulai sekarang karena pengembangan kawasan baru memerlukan <m>waktu panjang</m>.
65	76	ind_newscrawl_2016_1M	478947	Lebih baik Anda fokus pada kebutuhan pasangan Anda. 3. Habiskan	banyak waktu	dengan pasangan.	Lebih baik Anda fokus pada kebutuhan pasangan Anda. 3. Habiskan <m>banyak waktu</m> dengan pasangan.
90	101	ind_newscrawl_2016_1M	481872	Ledakan angka pekerja itu memiliki konsekuensi banyak orang tua yang kini tak lagi punya	banyak waktu	di rumah bersama sang anak.	Ledakan angka pekerja itu memiliki konsekuensi banyak orang tua yang kini tak lagi punya <m>banyak waktu</m> di rumah bersama sang anak.
78	89	ind_newscrawl_2016_1M	484577	Liliyana berharap pada laga di perempat final nanti ia dan Tontowi tak butuh	waktu banyak	untuk beradaptasi dengan lapangan.	Liliyana berharap pada laga di perempat final nanti ia dan Tontowi tak butuh <m>waktu banyak</m> untuk beradaptasi dengan lapangan.
11	22	ind_newscrawl_2016_1M	500290	Masih ada	banyak waktu	untuk memikirkan ibukota Bolmong Induk, sebab pemindahan pusat pemerintahan Bolmong dari Kotamobagu ke tempat yang baru, diberi waktu sampai tiga tahun.	Masih ada <m>banyak waktu</m> untuk memikirkan ibukota Bolmong Induk, sebab pemindahan pusat pemerintahan Bolmong dari Kotamobagu ke tempat yang baru, diberi waktu sampai tiga tahun.
9	20	ind_newscrawl_2016_1M	500675	“Ma-sih	banyak waktu	,” kata salah satu anak buah Adriano Galliani itu.	“Ma-sih <m>banyak waktu</m>,” kata salah satu anak buah Adriano Galliani itu.
7	19	ind_newscrawl_2016_1M	501130	Masih	panjang waktu	untuk melakukan pembenahan jelang Piala AFF nanti,” tutur Andik.	Masih <m>panjang waktu</m> untuk melakukan pembenahan jelang Piala AFF nanti,” tutur Andik.
193	204	ind_newscrawl_2016_1M	510928	“Memang untuk mem-buat amdal termasuk rencana pengelolaan lingkungan hidup (RKL) dan rencana peman-tauan lingkungan hidup (RPL), biasanya pemrakarsa menggunakan jasa konsultan dan membutuhkan	banyak waktu	,” ujarnya.	“Memang untuk mem-buat amdal termasuk rencana pengelolaan lingkungan hidup (RKL) dan rencana peman-tauan lingkungan hidup (RPL), biasanya pemrakarsa menggunakan jasa konsultan dan membutuhkan <m>banyak waktu</m>,” ujarnya.
30	42	ind_newscrawl_2016_1M	511400	Membangun hardwere itu butuh	waktu panjang	", kami fokus menuntaskan yang bisa menjadi quick win, yakni menyiapkan softwere dan teknologinya, sambil membangun infrastruktur prioritas,"" jelas Arief Yahya sesaat setelah bertemu tim manajemen Baidu di Beijing."	"Membangun hardwere itu butuh <m>waktu panjang</m>, kami fokus menuntaskan yang bisa menjadi quick win, yakni menyiapkan softwere dan teknologinya, sambil membangun infrastruktur prioritas,"" jelas Arief Yahya sesaat setelah bertemu tim manajemen Baidu di Beijing."
121	133	ind_newscrawl_2016_1M	512891	Menanggapi kemungkinan Indonesia kembali menjadi anggota OPEC, pengamat perminyakan Kurtubi menilai hal itu membutuhkan	waktu panjang	.	Menanggapi kemungkinan Indonesia kembali menjadi anggota OPEC, pengamat perminyakan Kurtubi menilai hal itu membutuhkan <m>waktu panjang</m>.
80	92	ind_newscrawl_2016_1M	518490	Menhub mengakui bahwa untuk sampai kepada tahap implementasi, masih memerlukan	waktu panjang	dan harus melalui beberapa tahapan terlebih dahulu.	Menhub mengakui bahwa untuk sampai kepada tahap implementasi, masih memerlukan <m>waktu panjang</m> dan harus melalui beberapa tahapan terlebih dahulu.
164	175	ind_newscrawl_2016_1M	526424	Menurut Encho, jika saat ini seluruh atletnya tinggal di Ka-lasey, sedangakan tempat lati-hannya di Sario, apalagi melaku-kan latihan tiga kali sehari, tentu akan	banyak waktu	yang terbuang di perjalanan.	Menurut Encho, jika saat ini seluruh atletnya tinggal di Ka-lasey, sedangakan tempat lati-hannya di Sario, apalagi melaku-kan latihan tiga kali sehari, tentu akan <m>banyak waktu</m> yang terbuang di perjalanan.
