ngram	w1	w2	w3
banyak_yang_datang	banyak	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_Bintan	datang	ke	Bintan
Eropa_yang_datang	Eropa	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_Minahasa	datang	ke	Minahasa
malam_Patai_datang	malam	Patai	datang
Patai_datang_berkunjung	Patai	datang	berkunjung
yang_akan_datang	yang	akan	datang
akan_datang_jika	akan	datang	jika
datang_jika_infrastruktur	datang	jika	infrastruktur
yang_akan_datang	yang	akan	datang
akan_datang_nanti	akan	datang	nanti
datang_nanti_mencemooh	datang	nanti	mencemooh
yang_hanya_datang	yang	hanya	datang
hanya_datang_hari	hanya	datang	hari
datang_hari_Senin	datang	hari	Senin
bersangkutan_tidak_datang	bersangkutan	tidak	datang
tidak_datang_untuk	tidak	datang	untuk
datang_untuk_memberikan	datang	untuk	memberikan
tawaran_itu_datang	tawaran	itu	datang
saya_tidak_datang	saya	tidak	datang
tidak_datang_setiap	tidak	datang	setiap
datang_setiap_hari	datang	setiap	hari
yang_akan_datang	yang	akan	datang
akan_datang_permintaan	akan	datang	permintaan
datang_permintaan_akan	datang	permintaan	akan
kali_tidak_datang	kali	tidak	datang
tidak_datang_dan	tidak	datang	dan
datang_dan_pelanggaran	datang	dan	pelanggaran
setiap_pencobaan_datang	setiap	pencobaan	datang
pencobaan_datang_Tuhan	pencobaan	datang	Tuhan
datang_Tuhan_tidak	datang	Tuhan	tidak
yang_selalu_datang	yang	selalu	datang
selalu_datang_mengganggu	selalu	datang	mengganggu
datang_mengganggu_petani	datang	mengganggu	petani
perwakilan_Waytuba_datang	perwakilan	Waytuba	datang
Waytuba_datang_dan	Waytuba	datang	dan
datang_dan_memberi	datang	dan	memberi
daerah_yang_datang	daerah	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_Manado	datang	ke	Manado
berdelapan_bersedia_datang	berdelapan	bersedia	datang
bersedia_datang_dan	bersedia	datang	dan
datang_dan_membawa	datang	dan	membawa
kesempatan_itu_datang	kesempatan	itu	datang
itu_datang_lewat	itu	datang	lewat
datang_lewat_sundulan	datang	lewat	sundulan
memutuskan_untuk_datang	memutuskan	untuk	datang
saya_langsung_datang	saya	langsung	datang
langsung_datang_ke	langsung	datang	ke
datang_ke_BCA	datang	ke	BCA
yang_akan_datang	yang	akan	datang
sampah_yang_datang	sampah	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_TPA	datang	ke	TPA
sudah_bisa_datang	sudah	bisa	datang
bisa_datang_Rabu	bisa	datang	Rabu
datang_Rabu_sore	datang	Rabu	sore
langsung_berbondong-bondong_datang	langsung	berbondong-bondong	datang
berbondong-bondong_datang_menyerbu	berbondong-bondong	datang	menyerbu
tak_akan_datang	tak	akan	datang
akan_datang_lagi	akan	datang	lagi
datang_lagi_ke	datang	lagi	ke
musim_penghujan_datang	musim	penghujan	datang
mu-sim_hujan_datang	mu-sim	hujan	datang
hujan_datang_ba-nyak	hujan	datang	ba-nyak
datang_ba-nyak_drai-nase	datang	ba-nyak	drai-nase
yang_akan_datang	yang	akan	datang
akan_datang_ujarnya	akan	datang	ujarnya
datang_ujarnya_di	datang	ujarnya	di
yang_akan_datang	yang	akan	datang
akan_datang_menjadi	akan	datang	menjadi
datang_menjadi_tidak	datang	menjadi	tidak
pembeli_yang_datang	pembeli	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_rumah	datang	ke	rumah
Kabar_mengejutkan_datang	Kabar	mengejutkan	datang
mengejutkan_datang_dari	mengejutkan	datang	dari
datang_dari_model	datang	dari	model
Etoga_akan_datang	Etoga	akan	datang
akan_datang_Sabtu	akan	datang	Sabtu
datang_Sabtu_ini	datang	Sabtu	ini
Akom_datang_ke	Akom	datang	ke
datang_ke_Gedung	datang	ke	Gedung
banyak_yang_datang	banyak	yang	datang
penonton_yang_datang	penonton	yang	datang
yang_datang_pada	yang	datang	pada
datang_pada_malam	datang	pada	malam
Jumat_itu_datang	Jumat	itu	datang
itu_datang_dari	itu	datang	dari
datang_dari_kalangan	datang	dari	kalangan
Muslim_yang_datang	Muslim	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_berbagai	datang	dari	berbagai
massa_yang_datang	massa	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_kalangan	datang	dari	kalangan
saat_kejadian_datang	saat	kejadian	datang
kejadian_datang_di	kejadian	datang	di
datang_di_tempat	datang	di	tempat
Aksi_protes_datang	Aksi	protes	datang
protes_datang_dari	protes	datang	dari
datang_dari_kubu	datang	dari	kubu
api_untuk_datang	api	untuk	datang
untuk_datang_ke	untuk	datang	ke
datang_ke_TPS	datang	ke	TPS
dan_pekerjanya_datang	dan	pekerjanya	datang
pekerjanya_datang_dari	pekerjanya	datang	dari
datang_dari_kawasan	datang	dari	kawasan
Islam_setelah_datang	Islam	setelah	datang
setelah_datang_ke	setelah	datang	ke
datang_ke_Saudi	datang	ke	Saudi
Aku_datang_hanya	Aku	datang	hanya
datang_hanya_untuk	datang	hanya	untuk
Aku_datang_ke	Aku	datang	ke
datang_ke_Barcelona	datang	ke	Barcelona
Aku_datang_kembali	Aku	datang	kembali
datang_kembali_karena	datang	kembali	karena
Aku_datang_ke	Aku	datang	ke
datang_ke_sini	datang	ke	sini
kemudian_dia_datang	kemudian	dia	datang
dia_datang_menjumpaiku	dia	datang	menjumpaiku
datang_menjumpaiku_dan	datang	menjumpaiku	dan
kan_pernah_datang	kan	pernah	datang
pernah_datang_ke	pernah	datang	ke
datang_ke_Mondial	datang	ke	Mondial
senang_aku_datang	senang	aku	datang
aku_datang_mengucapkan	aku	datang	mengucapkan
datang_mengucapkan_selamat	datang	mengucapkan	selamat
sungguh-sungguh_mendukungnya_datang	sungguh-sungguh	mendukungnya	datang
mendukungnya_datang_mengetuk	mendukungnya	datang	mengetuk
datang_mengetuk_pintu-pintu	datang	mengetuk	pintu-pintu
pengajar_yang_datang	pengajar	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_Jogja	datang	dari	Jogja
tahun_yang_datang	tahun	yang	datang
yang_datang_bersama	yang	datang	bersama
