ngram	w1	w2	n
depan_tentu	depan	tentu	10
depan_warga	depan	warga	10
depan_warung	depan	warung	10
depannya_ujar	depannya	ujar	10
garda_depan	garda	depan	10
gugus_depan	gugus	depan	10
kedepan_nanti	kedepan	nanti	10
mengedepankan_prinsip	mengedepankan	prinsip	10
teras_depan	teras	depan	10
depan_bersama	depan	bersama	9
depan_cerah	depan	cerah	9
depan_demikian	depan	demikian	9
depan_hanya	depan	hanya	9
depan_hotel	depan	hotel	9
depan_kamar	depan	kamar	9
depan_kampus	depan	kampus	9
depan_ketika	depan	ketika	9
depan_media	depan	media	9
depan_memang	depan	memang	9
depan_meski	depan	meski	9
depan_mulut	depan	mulut	9
depan_pabrik	depan	pabrik	9
depan_pungkas	depan	pungkas	9
depan_sebab	depan	sebab	9
depan_tambahnya	depan	tambahnya	9
depan_tepatnya	depan	tepatnya	9
depannya_ada	depannya	ada	9
depannya_di	depannya	di	9
depannya_lebih	depannya	lebih	9
depannya_tidak	depannya	tidak	9
finis_terdepan	finis	terdepan	9
lampu_depan	lampu	depan	9
mengedepankan_kualitas	mengedepankan	kualitas	9
sudah_didepan	sudah	didepan	9
terdepan_yang	terdepan	yang	9
bagian_depannya	bagian	depannya	8
depan_bukan	depan	bukan	8
depan_diperkirakan	depan	diperkirakan	8
depan_ekonomi	depan	ekonomi	8
depan_gapura	depan	gapura	8
depan_industri	depan	industri	8
depan_kawasan	depan	kawasan	8
depan_khalayak	depan	khalayak	8
depan_komputer	depan	komputer	8
depan_layar	depan	layar	8
depan_mahasiswa	depan	mahasiswa	8
depan_meja	depan	meja	8
depan_orang	depan	orang	8
depan_publiknya	depan	publiknya	8
depan_puluhan	depan	puluhan	8
depan_saat	depan	saat	8
depan_sebelum	depan	sebelum	8
depan_sidang	depan	sidang	8
depan_umat	depan	umat	8
depan_yaitu	depan	yaitu	8
depannya_dapat	depannya	dapat	8
depannya_juga	depannya	juga	8
ini_mengedepankan	ini	mengedepankan	8
juga_mengedepankan	juga	mengedepankan	8
kedepan_harus	kedepan	harus	8
kedepan_kata	kedepan	kata	8
mengedepankan_etika	mengedepankan	etika	8
mengedepankan_nilai	mengedepankan	nilai	8
mengedepankan_pendekatan	mengedepankan	pendekatan	8
mengedepankan_upaya	mengedepankan	upaya	8
serta_mengedepankan	serta	mengedepankan	8
berharap_kedepan	berharap	kedepan	7
depan_8MP	depan	8MP	7
depan_diprediksi	depan	diprediksi	7
depan_hal	depan	hal	7
depan_halaman	depan	halaman	7
depan_harga	depan	harga	7
depan_imbuh	depan	imbuh	7
depan_imbuhnya	depan	imbuhnya	7
depan_jumlah	depan	jumlah	7
depan_kan	depan	kan	7
depan_kedua	depan	kedua	7
depan_kegiatan	depan	kegiatan	7
depan_keluarga	depan	keluarga	7
depan_kondisi	depan	kondisi	7
depan_net	depan	net	7
depan_pendukung	depan	pendukung	7
depan_pun	depan	pun	7
depan_rakyat	depan	rakyat	7
depan_saja	depan	saja	7
depan_sebelah	depan	sebelah	7
depan_sedangkan	depan	sedangkan	7
depan_segera	depan	segera	7
depan_sekitar	depan	sekitar	7
depan_selain	depan	selain	7
depan_semoga	depan	semoga	7
depan_tambah	depan	tambah	7
depan_telah	depan	telah	7
depan_ucapnya	depan	ucapnya	7
depannya_adalah	depannya	adalah	7
depannya_kita	depannya	kita	7
di_kedepankan	di	kedepankan	7
dikedepankan_dalam	dikedepankan	dalam	7
ini_kedepan	ini	kedepan	7
kamar_depan	kamar	depan	7
kanan_depan	kanan	depan	7
kiri_depan	kiri	depan	7
lagi_mengedepankan	lagi	mengedepankan	7
mengedepankan_akal	mengedepankan	akal	7
mengedepankan_arogansi	mengedepankan	arogansi	7
mengedepankan_konsep	mengedepankan	konsep	7
mengedepankan_prinsip-prinsip	mengedepankan	prinsip-prinsip	7
mengedepankan_semangat	mengedepankan	semangat	7
posisi_depan	posisi	depan	7
pulau_terdepan	pulau	terdepan	7
adalah_mengedepankan	adalah	mengedepankan	6
agar_kedepannya	agar	kedepannya	6
