ngram	w1	w2	n
perunggu_zaman	perunggu	zaman	1
plesetan_zaman	plesetan	zaman	1
ponsel_zaman	ponsel	zaman	1
proses_zaman	proses	zaman	1
raksasa_zaman	raksasa	zaman	1
riwayat_zaman	riwayat	zaman	1
roti_zaman	roti	zaman	1
rumah_zaman	rumah	zaman	1
saban_zaman	saban	zaman	1
satu_zaman	satu	zaman	1
saya_zaman	saya	zaman	1
sebagai_zaman	sebagai	zaman	1
sebagus_zaman	sebagus	zaman	1
sedjak_zaman	sedjak	zaman	1
segala_zaman	segala	zaman	1
sekalipun_zaman	sekalipun	zaman	1
sekolah_zaman	sekolah	zaman	1
semenjak_zaman	semenjak	zaman	1
sementara_zaman	sementara	zaman	1
semua_zaman	semua	zaman	1
seragam_zaman	seragam	zaman	1
setelah_zaman	setelah	zaman	1
sudah_zaman	sudah	zaman	1
sulit_zaman	sulit	zaman	1
tanda_zaman	tanda	zaman	1
tapi_zaman	tapi	zaman	1
teknologi_zaman	teknologi	zaman	1
tema_zaman	tema	zaman	1
tengah_zaman	tengah	zaman	1
tentang_zaman	tentang	zaman	1
tergilas_zaman	tergilas	zaman	1
tergusur_zaman	tergusur	zaman	1
terhadap_zaman	terhadap	zaman	1
tertinggal_zaman	tertinggal	zaman	1
tetapi_zaman	tetapi	zaman	1
top_zaman	top	zaman	1
tua_zaman	tua	zaman	1
tuntutan-tuntutan_zaman	tuntutan-tuntutan	zaman	1
ujian_zaman	ujian	zaman	1
ulama_zaman	ulama	zaman	1
warisan_zaman	warisan	zaman	1
wartawan_zaman	wartawan	zaman	1
ya_zaman	ya	zaman	1
zaman_2000-an	zaman	2000-an	1
zaman_akan	zaman	akan	1
zaman_apa	zaman	apa	1
zaman_apalagi	zaman	apalagi	1
zaman_apapun	zaman	apapun	1
zaman_ashra	zaman	ashra	1
zaman_awal	zaman	awal	1
zaman_bahkan	zaman	bahkan	1
zaman_baik	zaman	baik	1
zaman_bandar	zaman	bandar	1
zaman_bangsa	zaman	bangsa	1
zaman_bapak	zaman	bapak	1
zaman_barbar	zaman	barbar	1
zaman_begitu	zaman	begitu	1
zaman_belum	zaman	belum	1
zaman_berikut	zaman	berikut	1
zaman_berjuang	zaman	berjuang	1
zaman_canggih	zaman	canggih	1
zaman_da-hulu	zaman	da-hulu	1
zaman_dalam	zaman	dalam	1
zaman_dari	zaman	dari	1
zaman_datangnya	zaman	datangnya	1
zaman_dia	zaman	dia	1
zaman_distribusi	zaman	distribusi	1
zaman_disulap	zaman	disulap	1
zaman_doeloe	zaman	doeloe	1
zaman_dulukala	zaman	dulukala	1
zaman_era	zaman	era	1
zaman_gamelan	zaman	gamelan	1
zaman_geliat	zaman	geliat	1
zaman_generasi	zaman	generasi	1
zaman_globalisasi	zaman	globalisasi	1
zaman_guru	zaman	guru	1
zaman_harus	zaman	harus	1
zaman_hidup	zaman	hidup	1
zaman_inilah	zaman	inilah	1
zaman_jadi	zaman	jadi	1
zaman_jamu	zaman	jamu	1
zaman_jika	zaman	jika	1
zaman_juga	zaman	juga	1
zaman_justru	zaman	justru	1
zaman_kaligrafi	zaman	kaligrafi	1
zaman_kami	zaman	kami	1
zaman_kampanye	zaman	kampanye	1
zaman_kapolda	zaman	kapolda	1
zaman_karena	zaman	karena	1
zaman_kariernya	zaman	kariernya	1
zaman_ke-bodohan	zaman	ke-bodohan	1
zaman_ke-lahiran	zaman	ke-lahiran	1
zaman_kebebasan	zaman	kebebasan	1
zaman_kebutuhan	zaman	kebutuhan	1
zaman_kege-lapan	zaman	kege-lapan	1
zaman_kegelapan	zaman	kegelapan	1
zaman_kegembiraan	zaman	kegembiraan	1
zaman_kegemilangan	zaman	kegemilangan	1
zaman_kekhalifahan	zaman	kekhalifahan	1
zaman_kekuasaan	zaman	kekuasaan	1
zaman_kelak	zaman	kelak	1
zaman_keluarga-keluarga	zaman	keluarga-keluarga	1
zaman_kemapanan	zaman	kemapanan	1
zaman_kepimpinan	zaman	kepimpinan	1
zaman_keramik	zaman	keramik	1
zaman_kertas	zaman	kertas	1
zaman_kesenian	zaman	kesenian	1
zaman_kesetaraan	zaman	kesetaraan	1
zaman_khalifah	zaman	khalifah	1
zaman_khususnya	zaman	khususnya	1
zaman_kiwari	zaman	kiwari	1
zaman_klasik	zaman	klasik	1
zaman_kompeni	zaman	kompeni	1
zaman_komputer	zaman	komputer	1
zaman_komputerisasi	zaman	komputerisasi	1
zaman_korup	zaman	korup	1
zaman_kuda	zaman	kuda	1
zaman_lanjut	zaman	lanjut	1
zaman_leluhur	zaman	leluhur	1
zaman_ma-ka	zaman	ma-ka	1
zaman_majapahit	zaman	majapahit	1
zaman_maju	zaman	maju	1
zaman_manusia	zaman	manusia	1
zaman_materialisme	zaman	materialisme	1
zaman_materialistis	zaman	materialistis	1
zaman_media	zaman	media	1
zaman_melek	zaman	melek	1
zaman_membawa	zaman	membawa	1
zaman_membuat	zaman	membuat	1
zaman_menjadi	zaman	menjadi	1
zaman_menterinya	zaman	menterinya	1
zaman_menu-ju	zaman	menu-ju	1
zaman_menuntut	zaman	menuntut	1
zaman_merupakan	zaman	merupakan	1
zaman_mesolitik	zaman	mesolitik	1
zaman_misalnya	zaman	misalnya	1
zaman_mulai	zaman	mulai	1
zaman_namanya	zaman	namanya	1
zaman_namun	zaman	namun	1
zaman_nari-nari	zaman	nari-nari	1
zaman_nggak	zaman	nggak	1
zaman_niscaya	zaman	niscaya	1
zaman_orang	zaman	orang	1
zaman_order	zaman	order	1
zaman_otonomisasi	zaman	otonomisasi	1
zaman_otoriter	zaman	otoriter	1
zaman_pasca-Orba	zaman	pasca-Orba	1
zaman_pe-merintahan	zaman	pe-merintahan	1
zaman_pemerintah	zaman	pemerintah	1
zaman_pemerintahannya	zaman	pemerintahannya	1
zaman_pencerahan	zaman	pencerahan	1
zaman_penja-jahan	zaman	penja-jahan	1
zaman_per-janjian	zaman	per-janjian	1
zaman_peradaban	zaman	peradaban	1
zaman_perikanan	zaman	perikanan	1
zaman_perunggu	zaman	perunggu	1
zaman_perupa	zaman	perupa	1
zaman_postmodern	zaman	postmodern	1
zaman_pra-Islam	zaman	pra-Islam	1
zaman_presiden	zaman	presiden	1
zaman_produk	zaman	produk	1
zaman_produk-produk	zaman	produk-produk	1
zaman_progresif	zaman	progresif	1
zaman_ragam	zaman	ragam	1
zaman_raja	zaman	raja	1
zaman_reaktor	zaman	reaktor	1
zaman_rektornya	zaman	rektornya	1
zaman_renaisans	zaman	renaisans	1
zaman_riuhnya	zaman	riuhnya	1
zaman_sebagai	zaman	sebagai	1
zaman_sebe-lum	zaman	sebe-lum	1
zaman_sehingga	zaman	sehingga	1
zaman_seka-rang	zaman	seka-rang	1
zaman_selalu	zaman	selalu	1
