ngram	w1	w2	w3	n
di_depan_mereka	di	depan	mereka	10
di_depan_ratusan	di	depan	ratusan	10
di_depan_warung	di	depan	warung	10
garda_terdepan_untuk	garda	terdepan	untuk	10
itu_ke_depannya	itu	ke	depannya	10
kamera_depan_5MP	kamera	depan	5MP	10
ke_depan_itu	ke	depan	itu	10
ke_depan_pihaknya	ke	depan	pihaknya	10
ke_depan_semakin	ke	depan	semakin	10
ke_depannya_bisa	ke	depannya	bisa	10
lambat_pekan_depan	lambat	pekan	depan	10
masa_depan_akan	masa	depan	akan	10
memiliki_masa_depan	memiliki	masa	depan	10
orasi_di_depan	orasi	di	depan	10
pada_bagian_depan	pada	bagian	depan	10
parkir_di_depan	parkir	di	depan	10
pekan_depan_kata	pekan	depan	kata	10
pemerintah_ke_depan	pemerintah	ke	depan	10
rencana_ke_depan	rencana	ke	depan	10
sampai_pekan_depan	sampai	pekan	depan	10
sebagai_garda_terdepan	sebagai	garda	terdepan	10
tahun_depan_ujar	tahun	depan	ujar	10
tentang_masa_depan	tentang	masa	depan	10
tetap_mengedepankan_asas	tetap	mengedepankan	asas	10
akan_masa_depan	akan	masa	depan	9
beberapa_hari_kedepan	beberapa	hari	kedepan	9
berhenti_di_depan	berhenti	di	depan	9
berjaga_di_depan	berjaga	di	depan	9
dan_di_depan	dan	di	depan	9
dari_posisi_terdepan	dari	posisi	terdepan	9
demo_di_depan	demo	di	depan	9
depan_bisa_menjadi	depan	bisa	menjadi	9
depan_publik_sendiri	depan	publik	sendiri	9
depan_yang_akan	depan	yang	akan	9
depan_yang_baik	depan	yang	baik	9
di_barisan_terdepan	di	barisan	terdepan	9
di_depan_forum	di	depan	forum	9
di_depan_ribuan	di	depan	ribuan	9
energi_masa_depan	energi	masa	depan	9
ini_ke_depannya	ini	ke	depannya	9
itu_tahun_depan	itu	tahun	depan	9
ke_depannya_lebih	ke	depannya	lebih	9
lima_tahun_kedepan	lima	tahun	kedepan	9
masa_depan_bagi	masa	depan	bagi	9
masa_depan_dunia	masa	depan	dunia	9
mengancam_masa_depan	mengancam	masa	depan	9
mengedepankan_asas_praduga	mengedepankan	asas	praduga	9
menuju_masa_depan	menuju	masa	depan	9
mobil_masa_depan	mobil	masa	depan	9
pekan_depan_kami	pekan	depan	kami	9
pekan_depan_ujar	pekan	depan	ujar	9
sebagai_masa_depan	sebagai	masa	depan	9
seminggu_ke_depan	seminggu	ke	depan	9
sudah_didepan_mata	sudah	didepan	mata	9
tengah_dan_depan	tengah	dan	depan	9
tiba_di_depan	tiba	di	depan	9
wajah_masa_depan	wajah	masa	depan	9
depan_hari_ini	depan	hari	ini	8
depan_juga_akan	depan	juga	akan	8
depan_mulut_gawang	depan	mulut	gawang	8
depan_nanti_akan	depan	nanti	akan	8
depan_pemerintah_akan	depan	pemerintah	akan	8
depan_pintu_gerbang	depan	pintu	gerbang	8
depan_yang_cerah	depan	yang	cerah	8
di_depan_gereja	di	depan	gereja	8
di_depan_kamar	di	depan	kamar	8
di_depan_khalayak	di	depan	khalayak	8
di_depan_komputer	di	depan	komputer	8
di_depan_publiknya	di	depan	publiknya	8
di_depan_ruangan	di	depan	ruangan	8
di_garda_terdepan	di	garda	terdepan	8
diparkir_di_depan	diparkir	di	depan	8
halaman_depan_rumah	halaman	depan	rumah	8
ke_depan_mereka	ke	depan	mereka	8
ke_depan_sebagai	ke	depan	sebagai	8
ke_depan_tukasnya	ke	depan	tukasnya	8
lewat_di_depan	lewat	di	depan	8
lintas_di_depan	lintas	di	depan	8
masa_depan_adalah	masa	depan	adalah	8
masa_depan_itu	masa	depan	itu	8
masa_depan_karena	masa	depan	karena	8
masa_depan_negara	masa	depan	negara	8
masa_depan_ujar	masa	depan	ujar	8
masa_depan_umat	masa	depan	umat	8
memikirkan_masa_depan	memikirkan	masa	depan	8
menanti_di_depan	menanti	di	depan	8
menghancurkan_masa_depan	menghancurkan	masa	depan	8
nanti_tahun_depan	nanti	tahun	depan	8
pekan_depan_dan	pekan	depan	dan	8
penentu_masa_depan	penentu	masa	depan	8
sampai_tahun_depan	sampai	tahun	depan	8
yang_harus_dikedepankan	yang	harus	dikedepankan	8
akhir_pekan_depan	akhir	pekan	depan	7
atau_di_depan	atau	di	depan	7
baru_tahun_depan	baru	tahun	depan	7
berada_paling_depan	berada	paling	depan	7
berjaga-jaga_di_depan	berjaga-jaga	di	depan	7
berlangsung_di_depan	berlangsung	di	depan	7
berpose_di_depan	berpose	di	depan	7
bulan_depan_akan	bulan	depan	akan	7
daerah_ke_depan	daerah	ke	depan	7
dengan_kamera_depan	dengan	kamera	depan	7
depan_akan_dilakukan	depan	akan	dilakukan	7
depan_akan_kami	depan	akan	kami	7
depan_anak_cucu	depan	anak	cucu	7
depan_bangsa_yang	depan	bangsa	yang	7
depan_ini_akan	depan	ini	akan	7
depan_kotak_penalti	depan	kotak	penalti	7
depan_nanti_tidak	depan	nanti	tidak	7
depan_publiknya_sendiri	depan	publiknya	sendiri	7
depan_rumah_korban	depan	rumah	korban	7
depan_tidak_terjadi	depan	tidak	terjadi	7
di_depan_kampus	di	depan	kampus	7
di_depan_masjid	di	depan	masjid	7
di_depan_masyarakat	di	depan	masyarakat	7
di_depan_media	di	depan	media	7
di_depan_mobil	di	depan	mobil	7
di_depan_pendukung	di	depan	pendukung	7
di_depan_warga	di	depan	warga	7
di_garda_depan	di	garda	depan	7
dilanjutkan_pekan_depan	dilanjutkan	pekan	depan	7
finish_di_depan	finish	di	depan	7
guru_garis_depan	guru	garis	depan	7
harapan_ke_depan	harapan	ke	depan	7
ini_di_depan	ini	di	depan	7
kaca_depan_mobil	kaca	depan	mobil	7
ke_depan_dalam	ke	depan	dalam	7
ke_depan_jelas	ke	depan	jelas	7
ke_depan_jika	ke	depan	jika	7
ke_depan_makin	ke	depan	makin	7
ke_depan_nantinya	ke	depan	nantinya	7
ke_depan_sangat	ke	depan	sangat	7
ke_depan_setelah	ke	depan	setelah	7
ke_depan_tak	ke	depan	tak	7
ke_depan_tutur	ke	depan	tutur	7
ke_depan_tuturnya	ke	depan	tuturnya	7
ke_depan_ungkapnya	ke	depan	ungkapnya	7
ke_depan_yakni	ke	depan	yakni	7
ke_depannya_dapat	ke	depannya	dapat	7
ke_depannya_kita	ke	depannya	kita	7
ke_depannya_ujar	ke	depannya	ujar	7
kendaraan_di_depannya	kendaraan	di	depannya	7
lagi_tahun_depan	lagi	tahun	depan	7
langkah_ke_depan	langkah	ke	depan	7
masa_depan_cerah	masa	depan	cerah	7
masa_depan_dari	masa	depan	dari	7
masa_depannya_di	masa	depannya	di	7
masa_depannya_yang	masa	depannya	yang	7
mengisi_lini_depan	mengisi	lini	depan	7
menyiapkan_masa_depan	menyiapkan	masa	depan	7
merusak_masa_depan	merusak	masa	depan	7
minggu_depan_akan	minggu	depan	akan	7
minggu_depan_sudah	minggu	depan	sudah	7
pekan_depan_nanti	pekan	depan	nanti	7
persen_tahun_depan	persen	tahun	depan	7
posisi_start_terdepan	posisi	start	terdepan	7
punya_masa_depan	punya	masa	depan	7
tahun_depan_juga	tahun	depan	juga	7
tahun_depan_pemerintah	tahun	depan	pemerintah	7
tahun_depan_ujarnya	tahun	depan	ujarnya	7
tahun-tahun_ke_depan	tahun-tahun	ke	depan	7
terletak_di_depan	terletak	di	depan	7
agar_tahun_depan	agar	tahun	depan	6
atau_tahun_depan	atau	tahun	depan	6
berjajar_di_depan	berjajar	di	depan	6
berpidato_di_depan	berpidato	di	depan	6
besar_di_depan	besar	di	depan	6
dan_pekan_depan	dan	pekan	depan	6
dari_arah_depan	dari	arah	depan	6
