ngram	w1	w2	w3	w4
ketika_mu-sim_hujan_datang	ketika	mu-sim	hujan	datang
mu-sim_hujan_datang_ba-nyak	mu-sim	hujan	datang	ba-nyak
hujan_datang_ba-nyak_drai-nase	hujan	datang	ba-nyak	drai-nase
datang_ba-nyak_drai-nase_ter-sumbat	datang	ba-nyak	drai-nase	ter-sumbat
beban_yang_akan_datang	beban	yang	akan	datang
yang_akan_datang_ujarnya	yang	akan	datang	ujarnya
akan_datang_ujarnya_di	akan	datang	ujarnya	di
datang_ujarnya_di_Kantor	datang	ujarnya	di	Kantor
masa_yang_akan_datang	masa	yang	akan	datang
yang_akan_datang_menjadi	yang	akan	datang	menjadi
akan_datang_menjadi_tidak	akan	datang	menjadi	tidak
datang_menjadi_tidak_jelas	datang	menjadi	tidak	jelas
para_pembeli_yang_datang	para	pembeli	yang	datang
pembeli_yang_datang_ke	pembeli	yang	datang	ke
yang_datang_ke_rumah	yang	datang	ke	rumah
datang_ke_rumah_makannya	datang	ke	rumah	makannya
GATRAnews_Kabar_mengejutkan_datang	GATRAnews	Kabar	mengejutkan	datang
Kabar_mengejutkan_datang_dari	Kabar	mengejutkan	datang	dari
mengejutkan_datang_dari_model	mengejutkan	datang	dari	model
datang_dari_model_Anggita	datang	dari	model	Anggita
kemungkinan_Etoga_akan_datang	kemungkinan	Etoga	akan	datang
Etoga_akan_datang_Sabtu	Etoga	akan	datang	Sabtu
akan_datang_Sabtu_ini	akan	datang	Sabtu	ini
Akom_datang_ke_Gedung	Akom	datang	ke	Gedung
datang_ke_Gedung_DPR	datang	ke	Gedung	DPR
