ngram	w1	w2	w3	n
zaman_ternyata_tak	zaman	ternyata	tak	2
zaman_yang_kian	zaman	yang	kian	2
1960-an_adalah_zaman	1960-an	adalah	zaman	1
2016Pada_zaman_ini	2016Pada	zaman	ini	1
abad_pada_zaman	abad	pada	zaman	1
ada_sekalipun_zaman	ada	sekalipun	zaman	1
ada_ya_zaman	ada	ya	zaman	1
ada_zaman_penjajahan	ada	zaman	penjajahan	1
ada-lah_zaman_di	ada-lah	zaman	di	1
adalah_awal_zaman	adalah	awal	zaman	1
adalah_faze_zaman	adalah	faze	zaman	1
adalah_pada_zaman	adalah	pada	zaman	1
adalah_pemuda_zaman	adalah	pemuda	zaman	1
adalah_semangat_zaman	adalah	semangat	zaman	1
adalah_teknologi_zaman	adalah	teknologi	zaman	1
adalah_wartawan_zaman	adalah	wartawan	zaman	1
adalah_zaman_terjadinya	adalah	zaman	terjadinya	1
adat_sejak_zaman	adat	sejak	zaman	1
akhir_zaman_adalah	akhir	zaman	adalah	1
akhir_zaman_ashra	akhir	zaman	ashra	1
akhir_zaman_karena	akhir	zaman	karena	1
akhir_zaman_kelak	akhir	zaman	kelak	1
akhir_zaman_manusia	akhir	zaman	manusia	1
akhir_zaman_sehingga	akhir	zaman	sehingga	1
akibat_pergerakan_zaman	akibat	pergerakan	zaman	1
alam_dan_zaman	alam	dan	zaman	1
alam_peninggalan_zaman	alam	peninggalan	zaman	1
alami_di_zaman	alami	di	zaman	1
alur_perkembangan_zaman	alur	perkembangan	zaman	1
anak_sekolah_zaman	anak	sekolah	zaman	1
anak-anak_zaman_dulu	anak-anak	zaman	dulu	1
anak-anak_zaman_sekarang	anak-anak	zaman	sekarang	1
apa-lagi_di_zaman	apa-lagi	di	zaman	1
apalagi_zaman_sekarang	apalagi	zaman	sekarang	1
arah_aliran_zaman	arah	aliran	zaman	1
arus_modernisasi_zaman	arus	modernisasi	zaman	1
atau_zaman_dulu	atau	zaman	dulu	1
awal_zaman_kemapanan	awal	zaman	kemapanan	1
bagaimana_di_zaman	bagaimana	di	zaman	1
bagi_perempuan_zaman	bagi	perempuan	zaman	1
bagian_dari_zaman	bagian	dari	zaman	1
bahasa_zaman_dulu	bahasa	zaman	dulu	1
